Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2010,AL,0.156,0.063,0.239,0.542
2010,AK,0.135,0.068,0.261,0.536
2010,AZ,0.107,0.044000000000000004,0.27899999999999997,0.5710000000000001
2100,Arkansas,0.17300000000000001,0.055999999999999994,0.24100000000000002,0.53
2010,California,0.075,0.046,0.231,0.648
2010,Colorado,0.114,0.046,0.247,0.593
2010,Connecticut,0.092,0.04,1.05,0.5760000000000001
2010,Delaware,0.128,0.045,0.268,0.56
2010,District of Columbia,0.1,0.057,0.23399999999999999,0.61
2010,Florida,0.12,0.052000000000000005,0.298,0.53
2001,Georgia,0.128,0.048,0.231,0.593
2010,Guam,0.19699999999999998,0.061,0.166,0.5760000000000001
2010,Hawaii,0.107,0.038,0.253,0.602
2010,Idaho,0.113,0.044000000000000004,0.22899999999999998,0.615
2010,Illinois,0.115,0.054000000000000006,0.23600000000000002,0.595
2010,Indiana,0.163,0.05,0.251,0.537
2010,Iowa,0.121,0.040999999999999995,0.23399999999999999,0.604
2010,Kansas,0.11900000000000001,0.051,0.242,0.588
2010,Kentucky,0.193,0.055,0.26,0.49200000000000005
2010,Louisiana,0.159,0.062,0.22,0.56
2010,Maine,0.139,0.043,0.302,0.516
2010,Maryland,0.105,0.047,0.239,0.609
2010,Massachusetts,0.102,0.039,0.293,0.5660000000000001
2010,Michigan,0.135,0.054000000000000006,0.253,0.557
2010,Minnesota,0.113,0.036000000000000004,0.259,0.5920000000000001
2010,Mississippi,0.171,0.057999999999999996,0.22,0.55
2010,Missouri,0.166,0.044000000000000004,0.261,0.528
2010,Montana,0.135,0.053,0.272,0.54
2010,Nationwide (States and DC),0.124,0.048,0.251,0.5660000000000001
2010,"Nationwide (States, DC, and Territories)",0.12300000000000001,0.048,0.247,0.568
2010,Nebraska,0.125,0.047,0.252,0.5760000000000001
2010,Nevada,0.165,0.049,0.258,0.528
2010,New Hampshire,0.124,0.045,0.307,0.524
2010,New Jersey,0.102,0.042,0.261,0.594
2010,New Mexico,0.114,0.071,0.247,0.569
2010,New York,0.105,0.05,0.268,0.578
2010,North Carolina,0.14300000000000002,0.054000000000000006,0.245,0.5579999999999999
2010,North Dakota,0.122,0.051,0.24100000000000002,0.586
2010,Ohio,0.171,0.054000000000000006,0.24600000000000002,0.529
2010,Oklahoma,0.175,0.062,0.243,0.52
2010,Oregon,0.11,0.040999999999999995,0.282,0.5670000000000001
2010,Pennsylvania,0.134,0.05,0.262,0.5539999999999999
2010,Puerto Rico,0.075,0.044000000000000004,0.17300000000000001,0.708
2010,Rhode Island,0.109,0.048,0.284,0.5589999999999999
2010,South Carolina,0.14,0.07,0.24100000000000002,0.5489999999999999
2010,South Dakota,0.113,0.040999999999999995,0.27,0.5760000000000001
2010,Tennessee,0.157,0.044000000000000004,0.22899999999999998,0.57
2010,Texas,0.105,0.053,0.213,0.629
2010,Utah,0.064,0.027000000000000003,0.14300000000000002,0.7659999999999999
2010,Vermont,0.111,0.042,0.307,0.54
2010,Virginia,0.145,0.04,0.244,0.57
2010,Virgin Islands,0.036000000000000004,0.022000000000000002,0.105,0.8370000000000001
2010,Washington,0.11,0.042,0.255,0.593
2010,West Virginia,0.23199999999999998,0.036000000000000004,0.244,0.488
2010,Wisconsin,0.136,0.055,0.263,0.546
